1,2,3,4,5,6,7,8,9,10,11,12
0.369392813,0.369392813,0.369392813,0.369392813,0.369392813,0.369392813,0.369392813,0.369392813,0.384615385,0.369392813,0.369392813,0.369392813
0.370480089,0.370480089,0.370480089,0.370480089,0.370480089,0.370480089,0.370480089,0.370480089,0.37398374,0.370480089,0.370480089,0.370480089
0.36908519,0.36908519,0.36908519,0.36908519,0.36908519,0.36908519,0.36908519,0.36908519,0.347457627,0.36908519,0.36908519,0.36908519
0.386423594,0.386423594,0.386423594,0.386423594,0.386423594,0.386423594,0.386423594,0.386423594,0.347457627,0.386423594,0.386423594,0.386423594
0.361963753,0.361963753,0.361963753,0.361963753,0.361963753,0.361963753,0.361963753,0.361963753,0.384,0.361963753,0.361963753,0.361963753
0.385009277,0.385009277,0.385009277,0.385009277,0.385009277,0.385009277,0.385009277,0.385009277,0.414285714,0.385009277,0.385009277,0.385009277
0.395417357,0.395196615,0.395080075,0.394963535,0.394846995,0.395053264,0.395259534,0.395465804,0.40625,0.395727829,0.395858842,0.3956381
0.40022849,0.399978224,0.400834202,0.401690181,0.402546159,0.402695262,0.402844365,0.402993469,0.395348837,0.401483838,0.400729023,0.400478757
0.451640695,0.450974235,0.452287219,0.453600204,0.454913189,0.455238568,0.455563947,0.455889326,0.452631579,0.453945519,0.452973616,0.452307155
0.480455702,0.479547551,0.480943572,0.482339593,0.483735614,0.484300585,0.484865557,0.485430529,0.471428571,0.483324847,0.482272006,0.481363854
0.489543229,0.488408365,0.489835213,0.49126206,0.492688908,0.493644602,0.494600296,0.49555599,0.481981982,0.493060635,0.491812958,0.490678093
0.478343003,0.476969632,0.478393585,0.479817538,0.481241491,0.482146024,0.483050558,0.483955092,0.482608696,0.482044861,0.481089746,0.479716375
0.492720503,0.491479301,0.492903653,0.494328004,0.495752355,0.496601748,0.497451141,0.498300534,0.493506494,0.496235448,0.495202905,0.493961704
0.482891944,0.481689167,0.482968793,0.484248419,0.485528044,0.486862159,0.488196274,0.489530389,0.489177489,0.486708461,0.485297497,0.48409472
0.488478897,0.487667024,0.488350127,0.489033231,0.489716335,0.491471239,0.493226143,0.494981047,0.5,0.491728778,0.490102643,0.48929077
0.447479352,0.447332528,0.448096172,0.448859815,0.449623459,0.450936516,0.452249573,0.45356263,0.468468468,0.449702877,0.447773,0.447626176
0.459868987,0.459948333,0.460492355,0.461036378,0.461580401,0.46250885,0.4634373,0.464365749,0.476190476,0.461262113,0.459710295,0.459789641
0.415116863,0.415454181,0.415966799,0.416479416,0.416992033,0.417526432,0.41806083,0.418595229,0.423076923,0.41582656,0.414442225,0.414779544
0.437214951,0.43709776,0.437014398,0.436931036,0.436847674,0.436976335,0.437104996,0.437233657,0.436893204,0.437377441,0.437449334,0.437332142
0.410350104,0.410350104,0.410350104,0.410350104,0.410350104,0.410350104,0.410350104,0.410350104,0.41,0.410350104,0.410350104,0.410350104
0.451412221,0.451412221,0.451412221,0.451412221,0.451412221,0.451412221,0.451412221,0.451412221,0.431578947,0.451412221,0.451412221,0.451412221
0.450889166,0.450889166,0.450889166,0.450889166,0.450889166,0.450889166,0.450889166,0.450889166,0.417142857,0.450889166,0.450889166,0.450889166
0.391793058,0.391793058,0.391793058,0.391793058,0.391793058,0.391793058,0.391793058,0.391793058,0.4,0.391793058,0.391793058,0.391793058
0.336283882,0.336283882,0.336283882,0.336283882,0.336283882,0.336283882,0.336283882,0.336283882,0.357142857,0.336283882,0.336283882,0.336283882
