GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_AES,1992,2042053.84765625,.,0.0
Oahu_Airport_DSG,2013,585669.040045268,.,0.0
Oahu_Battery_Bulk,2045,5616570.948706631,955960.4019204742,7193.54860820313
Oahu_Battery_Conting,2045,6144180.219075225,0.0,7193.54860820313
Oahu_Battery_Reg,2045,6671780.489443819,0.0,7193.54860820313
Oahu_CC_152,2045,1667968.57141722,.,19084.9248789063
Oahu_CIP_CT,2009,585669.040045268,.,0.0
Oahu_CentralTrackingPV_PV_01,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_02,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_03,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_04,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_05,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_06,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_07,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_08,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_09,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_10,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_11,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_12,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_13,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_14,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_15,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_16,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_17,2045,12845660.28763826,.,6534.5723125
Oahu_CentralTrackingPV_PV_18,2045,12845660.28763826,.,6534.5723125
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2016,4644523.11380854,.,19797.2552919651
Oahu_FlatDistPV_Oahu_FlatDistPV_0,2045,17528790.2575586,.,7780.70620553259
Oahu_FlatDistPV_Oahu_FlatDistPV_1,2045,17528790.2575586,.,7780.70620553259
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2016,4644523.11380854,.,19797.2552919651
Oahu_FlatDistPV_Oahu_FlatDistPV_2,2045,17528790.2575586,.,7780.70620553259
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2016,4644523.11380854,.,19797.2552919651
Oahu_FlatDistPV_Oahu_FlatDistPV_3,2045,17528790.2575586,.,7780.70620553259
Oahu_H-Power,1989,2042053.84765625,.,0.0
Oahu_IC_Barge,2045,1460706.20455472,.,38037.3922109375
Oahu_IC_MCBH,2045,3152361.90361337,.,38037.3922109375
Oahu_IC_Schofield,2018,2706478.43249614,.,38037.3922109375
Oahu_IC_Schofield,2045,2473988.88699359,.,38037.3922109375
Oahu_Kalaeloa_CC1,1989,2042053.84765625,.,0.0
Oahu_Kalaeloa_CC2,1991,2042053.84765625,.,0.0
Oahu_Kalaeloa_CC3,1991,2042053.84765625,.,0.0
Oahu_OffshoreWind_OffWind,2045,58039970.35474684,.,111330.963019383
Oahu_OnshoreWind_OnWind_101,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_102,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_103,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_104,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_105,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_106,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_107,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_201,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_202,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_203,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_204,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_205,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_206,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_207,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_208,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_209,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_301,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_302,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_303,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_304,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_305,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_306,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_307,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_308,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_309,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_401,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_402,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_403,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_404,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_405,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_406,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_407,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_408,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_409,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_410,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_501,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_502,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_503,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_504,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_505,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_506,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_507,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_508,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_509,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_Kahuku,2011,2417550.73104085,.,0.0
Oahu_OnshoreWind_OnWind_Kahuku,2045,23068460.15432564,.,44838.6944487864
Oahu_OnshoreWind_OnWind_Kawailoa,2012,2417550.73104085,.,0.0
Oahu_OnshoreWind_OnWind_Kawailoa,2045,23068460.15432564,.,44838.6944487864
Oahu_SlopedDistPV_Oahu_SlopedDistPV_0,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,2016,6762963.9594775,.,25048.0146647315
Oahu_SlopedDistPV_Oahu_SlopedDistPV_1,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2016,6762963.9594775,.,25048.0146647315
Oahu_SlopedDistPV_Oahu_SlopedDistPV_10,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_11,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2016,6762963.9594775,.,25048.0146647315
Oahu_SlopedDistPV_Oahu_SlopedDistPV_12,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_13,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2016,6762963.9594775,.,25048.0146647315
Oahu_SlopedDistPV_Oahu_SlopedDistPV_14,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_15,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_2,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2016,6762963.9594775,.,25048.0146647315
Oahu_SlopedDistPV_Oahu_SlopedDistPV_3,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_4,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2016,6762963.9594775,.,25048.0146647315
Oahu_SlopedDistPV_Oahu_SlopedDistPV_5,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_6,2016,6762963.9594775,.,25048.0146647315
Oahu_SlopedDistPV_Oahu_SlopedDistPV_6,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_7,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_8,2045,21279300.49054688,.,8146.1391328125
Oahu_SlopedDistPV_Oahu_SlopedDistPV_9,2045,21279300.49054688,.,8146.1391328125
Oahu_Waiau_10,1973,585669.040045268,.,0.0
Oahu_Waiau_9,1973,585669.040045268,.,0.0
