LOAD_ZONE,TIMEPOINT,zone_demand_mw
Oahu,4507082500,772.700012207031
Oahu,4507082501,730.080017089844
Oahu,4507082502,705.299987792969
Oahu,4507082503,699.169982910156
Oahu,4507082504,717.450012207031
Oahu,4507082505,766.47998046875
Oahu,4507082506,837.330017089844
Oahu,4507082507,956.72998046875
Oahu,4507082508,1050.92004394531
Oahu,4507082509,1099.30004882812
Oahu,4507082510,1123.19995117188
Oahu,4507082511,1126.19995117188
Oahu,4507082512,1111.10998535156
Oahu,4507082513,1104.30004882812
Oahu,4507082514,1098.31005859375
Oahu,4507082515,1111.58996582031
Oahu,4507082516,1109.91003417969
Oahu,4507082517,1094.81005859375
Oahu,4507082518,1105.43005371094
Oahu,4507082519,1107.5400390625
Oahu,4507082520,1066.19995117188
Oahu,4507082521,1005.84997558594
Oahu,4507082522,929.309997558594
Oahu,4507082523,836.299987792969
Oahu,4507050200,687.739990234375
Oahu,4507050201,655.559997558594
Oahu,4507050202,643.289978027344
Oahu,4507050203,654.239990234375
Oahu,4507050204,695.859985351562
Oahu,4507050205,838.080017089844
Oahu,4507050206,948.22998046875
Oahu,4507050207,998.400024414062
Oahu,4507050208,1046.97998046875
Oahu,4507050209,1083.35998535156
Oahu,4507050210,1097.11999511719
Oahu,4507050211,1103.97998046875
Oahu,4507050212,1116.53002929688
Oahu,4507050213,1117.68994140625
Oahu,4507050214,1118.35998535156
Oahu,4507050215,1114.48999023438
Oahu,4507050216,1097.46997070312
Oahu,4507050217,1097.35998535156
Oahu,4507050218,1112.55004882812
Oahu,4507050219,1126.7900390625
Oahu,4507050220,1052.0
Oahu,4507050221,966.580017089844
Oahu,4507050222,851.940002441406
Oahu,4507050223,753.549987792969
Oahu,4508120400,711.642523210304
Oahu,4508120401,682.599093660535
Oahu,4508120402,666.049294474759
Oahu,4508120403,675.940568625588
Oahu,4508120404,730.672695100707
Oahu,4508120405,857.245910705156
Oahu,4508120406,958.333693867453
Oahu,4508120407,998.772840157833
Oahu,4508120408,1065.67334900521
Oahu,4508120409,1099.58612940265
Oahu,4508120410,1115.12953361972
Oahu,4508120411,1120.28349197179
Oahu,4508120412,1127.04371129488
Oahu,4508120413,1123.51624108767
Oahu,4508120414,1121.82869914199
Oahu,4508120415,1118.26052640091
Oahu,4508120416,1103.21535594455
Oahu,4508120417,1128.74142887403
Oahu,4508120418,1147.89358427297
Oahu,4508120419,1101.24314444792
Oahu,4508120420,1033.20414353637
Oahu,4508120421,950.516263454854
Oahu,4508120422,848.472901444649
Oahu,4508120423,756.656237210478
Oahu,4507090800,784.72998046875
Oahu,4507090801,748.830017089844
Oahu,4507090802,723.309997558594
Oahu,4507090803,718.679992675781
Oahu,4507090804,737.830017089844
Oahu,4507090805,792.190002441406
Oahu,4507090806,863.039978027344
Oahu,4507090807,973.5
Oahu,4507090808,1065.84997558594
Oahu,4507090809,1117.41003417969
Oahu,4507090810,1138.53002929688
Oahu,4507090811,1147.2099609375
Oahu,4507090812,1149.11999511719
Oahu,4507090813,1141.41003417969
Oahu,4507090814,1140.75
Oahu,4507090815,1146.09997558594
Oahu,4507090816,1137.27001953125
Oahu,4507090817,1131.01000976562
Oahu,4507090818,1163.44995117188
Oahu,4507090819,1145.03002929688
Oahu,4507090820,1096.28002929688
Oahu,4507090821,1039.39001464844
Oahu,4507090822,948.619995117188
Oahu,4507090823,851.260009765625
Oahu,4507121500,719.150024414062
Oahu,4507121501,679.0
Oahu,4507121502,654.22998046875
Oahu,4507121503,653.219970703125
Oahu,4507121504,678.590026855469
Oahu,4507121505,730.619995117188
Oahu,4507121506,805.72998046875
Oahu,4507121507,896.169982910156
Oahu,4507121508,976.400024414062
Oahu,4507121509,1017.66998291016
Oahu,4507121510,1026.80004882812
Oahu,4507121511,1028.06005859375
Oahu,4507121512,1015.04998779297
Oahu,4507121513,992.989990234375
Oahu,4507121514,984.109985351562
Oahu,4507121515,990.630004882812
Oahu,4507121516,998.5
Oahu,4507121517,1043.53002929688
Oahu,4507121518,1062.43005371094
Oahu,4507121519,1017.19000244141
Oahu,4507121520,983.070007324219
Oahu,4507121521,931.840026855469
Oahu,4507121522,852.72998046875
Oahu,4507121523,762.239990234375
Oahu,4508120800,666.354253246103
Oahu,4508120801,638.713696091061
Oahu,4508120802,627.826264651539
Oahu,4508120803,643.166280292318
Oahu,4508120804,702.767819661652
Oahu,4508120805,823.21114679918
Oahu,4508120806,942.190547741166
Oahu,4508120807,977.557016654132
Oahu,4508120808,1036.79260549785
Oahu,4508120809,1065.1041339964
Oahu,4508120810,1083.53456397758
Oahu,4508120811,1087.93627001149
Oahu,4508120812,1091.2299488351
Oahu,4508120813,1088.64781979578
Oahu,4508120814,1087.39745781
Oahu,4508120815,1070.85783425769
Oahu,4508120816,1063.33531107606
Oahu,4508120817,1127.7757364392
Oahu,4508120818,1140.09656717386
Oahu,4508120819,1090.39641554227
Oahu,4508120820,1025.76283928286
Oahu,4508120821,938.886693284093
Oahu,4508120822,822.926477248229
Oahu,4508120823,727.033354971882
Oahu,4508010500,709.497512084337
Oahu,4508010501,673.582117382953
Oahu,4508010502,646.663285645667
Oahu,4508010503,644.985981380003
Oahu,4508010504,669.973242107989
Oahu,4508010505,716.461057937174
Oahu,4508010506,783.310750663751
Oahu,4508010507,858.008338656789
Oahu,4508010508,947.242873851642
Oahu,4508010509,1007.373049789
Oahu,4508010510,1033.68190193706
Oahu,4508010511,1037.27042594508
Oahu,4508010512,1028.07041235815
Oahu,4508010513,1018.85010955082
Oahu,4508010514,1012.29327880402
Oahu,4508010515,1010.65655297914
Oahu,4508010516,1018.21984074119
Oahu,4508010517,1055.90412040946
Oahu,4508010518,1099.38286491945
Oahu,4508010519,1045.36228822862
Oahu,4508010520,1002.77813081227
Oahu,4508010521,948.330611841556
Oahu,4508010522,866.15107910767
Oahu,4508010523,780.403311586151
Oahu,4508031300,697.166505716212
Oahu,4508031301,666.506763655047
Oahu,4508031302,655.446470539643
Oahu,4508031303,661.911844678315
Oahu,4508031304,724.644438875386
Oahu,4508031305,852.24440071548
Oahu,4508031306,969.871745383539
Oahu,4508031307,1009.93482756138
Oahu,4508031308,1067.36089095089
Oahu,4508031309,1104.04888923737
Oahu,4508031310,1123.76020810475
Oahu,4508031311,1125.01057009053
Oahu,4508031312,1130.98801019505
Oahu,4508031313,1136.06068757247
Oahu,4508031314,1136.59949977396
Oahu,4508031315,1128.53816439083
Oahu,4508031316,1112.74061752322
Oahu,4508031317,1108.06441757183
Oahu,4508031318,1154.81648963848
Oahu,4508031319,1136.45716499849
Oahu,4508031320,1068.34693465266
Oahu,4508031321,978.258452851496
Oahu,4508031322,864.392369774254
Oahu,4508031323,763.101322128757
Oahu,4508091000,737.534546665399
Oahu,4508091001,709.121385925255
Oahu,4508091002,691.727877813186
Oahu,4508091003,698.772704640684
Oahu,4508091004,752.691649089917
Oahu,4508091005,874.771577959232
Oahu,4508091006,980.606728460662
Oahu,4508091007,1037.19925855734
Oahu,4508091008,1098.73224484289
Oahu,4508091009,1142.17028681899
Oahu,4508091010,1168.82473822572
Oahu,4508091011,1165.99876626242
Oahu,4508091012,1180.29168440061
Oahu,4508091013,1190.33540691384
Oahu,4508091014,1180.33238693449
Oahu,4508091015,1179.45815110779
Oahu,4508091016,1166.2732601799
Oahu,4508091017,1140.50309614025
Oahu,4508091018,1179.68176685793
Oahu,4508091019,1154.27767743698
Oahu,4508091020,1090.67090945976
Oahu,4508091021,991.473870679791
Oahu,4508091022,875.218871506052
Oahu,4508091023,784.256153878189
Oahu,4507121700,669.289978027344
Oahu,4507121701,636.280029296875
Oahu,4507121702,620.690002441406
Oahu,4507121703,628.969970703125
Oahu,4507121704,694.880004882812
Oahu,4507121705,813.909973144531
Oahu,4507121706,936.330017089844
Oahu,4507121707,968.669982910156
Oahu,4507121708,1026.38000488281
Oahu,4507121709,1059.01000976562
Oahu,4507121710,1071.22998046875
Oahu,4507121711,1078.56005859375
Oahu,4507121712,1078.76000976562
Oahu,4507121713,1077.83996582031
Oahu,4507121714,1070.2099609375
Oahu,4507121715,1065.31005859375
Oahu,4507121716,1057.78002929688
Oahu,4507121717,1114.28002929688
Oahu,4507121718,1154.85998535156
Oahu,4507121719,1092.27001953125
Oahu,4507121720,1043.5400390625
Oahu,4507121721,957.320007324219
Oahu,4507121722,841.150024414062
Oahu,4507121723,732.5
Oahu,4508100600,732.858346714005
Oahu,4508100601,702.178253385902
Oahu,4508100602,687.580252383273
Oahu,4508100603,697.745958405038
Oahu,4508100604,755.233075595358
Oahu,4508100605,867.411616726922
Oahu,4508100606,963.386019977929
Oahu,4508100607,1034.94243955631
Oahu,4508100608,1102.87980822625
Oahu,4508100609,1139.37471766301
Oahu,4508100610,1165.54123503559
Oahu,4508100611,1176.88619770194
Oahu,4508100612,1186.05568438847
Oahu,4508100613,1190.04068582251
Oahu,4508100614,1187.41785424932
Oahu,4508100615,1179.87497980075
Oahu,4508100616,1166.1411010379
Oahu,4508100617,1160.74305157565
Oahu,4508100618,1202.97143409986
Oahu,4508100619,1151.03475268763
Oahu,4508100620,1085.14070085551
Oahu,4508100621,992.459976428106
Oahu,4508100622,882.416208742495
Oahu,4508100623,796.536282078969
Oahu,4507070900,729.530029296875
Oahu,4507070901,693.950012207031
Oahu,4507070902,677.22998046875
Oahu,4507070903,685.590026855469
Oahu,4507070904,740.780029296875
Oahu,4507070905,842.299987792969
Oahu,4507070906,948.559997558594
Oahu,4507070907,1021.76000976562
Oahu,4507070908,1102.5
Oahu,4507070909,1145.81994628906
Oahu,4507070910,1171.40002441406
Oahu,4507070911,1181.83996582031
Oahu,4507070912,1188.09997558594
Oahu,4507070913,1189.05004882812
Oahu,4507070914,1187.31005859375
Oahu,4507070915,1183.72998046875
Oahu,4507070916,1171.19995117188
Oahu,4507070917,1150.76000976562
Oahu,4507070918,1130.05004882812
Oahu,4507070919,1165.41003417969
Oahu,4507070920,1111.68005371094
Oahu,4507070921,1024.14001464844
Oahu,4507070922,913.289978027344
Oahu,4507070923,812.320007324219
Oahu,4508112200,696.587115073931
Oahu,4508112201,660.122732537582
Oahu,4508112202,635.481009021725
Oahu,4508112203,636.792424808322
Oahu,4508112204,656.696832525426
Oahu,4508112205,705.909050122857
Oahu,4508112206,778.187195118992
Oahu,4508112207,863.396150439015
Oahu,4508112208,942.353171737035
Oahu,4508112209,974.446313093334
Oahu,4508112210,1011.91715264494
Oahu,4508112211,1013.50300030247
Oahu,4508112212,997.57329429285
Oahu,4508112213,971.04082639466
Oahu,4508112214,958.587836517998
Oahu,4508112215,959.573880219767
Oahu,4508112216,982.599229177684
Oahu,4508112217,1038.62242017246
Oahu,4508112218,1024.32943998772
Oahu,4508112219,980.28141842238
Oahu,4508112220,931.577548172581
Oahu,4508112221,877.00804569333
Oahu,4508112222,810.697165168248
Oahu,4508112223,732.177199737034
