TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
45070502,2045,1.0,24,11.5474552957359
45070709,2045,1.0,24,40.6671251719395
45070825,2045,1.0,24,31.6299862448418
45070908,2045,1.0,24,37.6547455295736
45071215,2045,1.0,24,19.0784044016506
45071217,2045,1.0,24,22.0907840440165
45080105,2045,1.0,24,20.5845942228336
45080313,2045,1.0,24,26.1072902338377
45080910,2045,1.0,24,43.1774415405777
45081006,2045,1.0,24,40.6671251719395
45081122,2045,1.0,24,7.02888583218707
45081204,2045,1.0,24,38.1568088033012
45081208,2045,1.0,24,26.6093535075653
